Vocabulario;Encontrados;
SAN;0;
a-loc;42;
ac;0;
acco;0;
acl;0;
acm;0;
acrt;0;
adms;0;
af;0;
agls;0;
agr;0;
agrelon;0;
aiiso;0;
airo;0;
airs;0;
akt;0;
akts;0;
algo;0;
am;0;
aml;0;
amlo-core;0;
amv;0;
ao;0;
aos;0;
apco;0;
api;0;
apps4X;0;
arch;0;
arco;0;
arp;0;
atd;0;
atm;0;
atts;0;
authn_provider;0;
awol;0;
aws;0;
bag;0;
basic;0;
bbc;0;
bbccms;0;
bbccore;0;
bbcprov;0;
bci;0;
bcom;0;
being;0;
bevon;0;
bibo;0;
bibtex;0;
bimerr-op;0;
bio;0;
biol;0;
biopax;0;
biotop;0;
biro;0;
blt;0;
bot;0;
botany;0;
bperson;0;
br;0;
brk;0;
brt;0;
bto;0;
c4n;0;
c4o;0;
cal;0;
caresses;0;
cart;0;
caso;0;
cbcm;0;
cbo;0;
cbs;0;
cc;0;
cci;0;
cco;0;
ccp;0;
ccr;0;
ccsla;0;
cdc;0;
cdesc;0;
cdm;0;
cdtype;0;
cem;0;
ceo;0;
cerif;0;
cert;0;
cevent;0;
cff;0;
cfp;0;
cfrl;0;
cgov;0;
chord;0;
ci;0;
cis;0;
citedcat;0;
cito;0;
citof;0;
cl;0;
cld;0;
cmo;0;
cnt;0;
co;0;
cochrane;0;
cocoon;0;
cogs;0;
cold;0;
coll;0;
comm;0;
common;0;
con;0;
contax;0;
conversion;0;
coo;0;
core;0;
coun;0;
cpa;0;
cpmeta;0;
crm;0;
cro;0;
crsw;0;
cs;0;
csp;0;
csvw;0;
ct;0;
ctag;0;
ctlog;0;
cto;0;
ctorg;0;
ctrl;0;
ctxdesc;0;
cwmo;0;
cwork;0;
cwrc;0;
d2rq;0;
dady;0;
daia;0;
daq;0;
dataid;0;
date;0;
datex;0;
dave;0;
dba;0;
dbm;0;
dbowl;0;
dbpedia-owl;0;
dbug;0;
dcam;0;
dcat;0;
dce;0;
dcite;0;
dcndl;0;
dco;0;
dcterms;0;
dctype;0;
ddesc;0;
decision;0;
demlab;0;
deo;0;
deps;0;
dfc;0;
dfc-b;0;
dfc-p;0;
dfc-t;0;
dg;0;
dicom;0;
dio;0;
disco;0;
dita;0;
dk;0;
dm2e;0;
dnbt;0;
doap;0;
doc;0;
doco;0;
docso;0;
dogont;0;
donto;0;
dot;0;
dpn;0;
