Vocabulario;Tuplas;Etiquetas;Repeticiones;rdf:Property;rdf:rest;rdf:first;rdf:value;rdf:Seq;rdf:List;rdf:subject;rdf:object;rdf:predicate;rdf:Statement;rdf:Bag;rdf:type;rdfs:label;rdfs:comment;rdfs:subClassOf;rdfs:seeAlso;rdfs:range;rdfs:subPropertyOf;rdfs:isDefinedBy;rdfs:domain;rdfs:Class;rdfs:Datatype;rdfs:Resource;rdfs:ContainerMembershipProperty;owl:sameAs;owl:Ontology;owl:Class;owl:DatatypeProperty;owl:ObjectProperty;owl:Thing;owl:versionInfo;owl:AnnotationProperty;owl:inverseOf;owl:equivalentClass;owl:onProperty;owl:Restriction;owl:FunctionalProperty;owl:SymmetricProperty;owl:disjointWith;owl:unionOf;owl:TransitiveProperty;owl:NamedIndividual;owl:allValuesFrom;owl:equivalentProperty;owl:cardinality;owl:someValuesFrom;owl:InverseFunctionalProperty;owl:maxCardinality;owl:hasValue;owl:minCardinality;owl:intersectionOf;owl:oneOf;owl:distinctMembers;owl:AllDifferent;owl:onClass;owl:deprecated;owl:differentFrom;owl:AsymmetricProperty;owl:qualifiedCardinality;owl:minQualifiedCardinality;owl:IrreflexiveProperty;owl:complementOf;owl:annotatedTarget;owl:DeprecatedProperty;owl:DeprecatedClass;owl:AllDisjointClasses;owl:members;owl:ReflexiveProperty;owl:onDatatype;owl:withRestrictions;owl:priorVersion;owl:DataRange;owl:disjointUnionOf;owl:hasSelf;owl:onDataRange;owl:propertyDisjointWith;owl:maxQualifiedCardinality;owl:propertyChainAxiom;
a-loc;1692;28;1827;0;6;6;0;0;0;0;0;0;0;0;254;260;261;78;0;82;42;128;82;0;1;0;0;0;1;50;18;81;14;260;7;34;0;42;42;4;0;2;0;0;25;15;0;0;27;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
ac;169;3;4;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
acco;484;18;552;0;58;58;0;0;0;0;0;0;0;0;85;53;53;23;0;26;19;52;32;0;0;0;0;0;1;34;13;19;6;1;7;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
acl;92;10;112;12;0;0;0;0;0;0;0;0;0;0;20;19;20;6;3;10;1;0;10;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
acrt;106;13;74;0;0;0;0;0;0;0;0;0;0;0;12;8;9;0;8;5;0;9;6;0;0;0;0;0;1;1;0;7;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
adms;142;14;148;0;0;0;0;0;0;0;0;0;0;0;24;20;19;0;0;14;3;18;14;0;0;15;0;0;1;4;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
af;375;20;370;6;0;0;1;0;0;0;0;0;0;0;80;60;63;45;0;12;11;0;15;0;0;0;0;0;1;46;9;7;5;1;1;0;1;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
agrelon;1505;26;1546;83;2;2;0;0;0;0;0;0;0;0;267;525;133;47;69;1;72;131;2;48;0;0;0;2;1;48;4;55;0;1;1;22;0;0;0;0;22;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;
amlo-core;1239;35;1412;0;12;12;0;0;0;0;0;0;0;0;347;154;155;156;6;11;17;4;17;0;3;0;0;0;1;107;27;20;0;1;11;0;2;70;70;9;0;2;5;0;50;0;0;2;9;0;3;0;0;0;0;0;0;40;13;0;0;46;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;16;0;12;0;
ao;115;16;112;11;0;0;0;0;0;0;0;0;0;0;19;16;14;2;0;2;12;14;6;0;0;0;0;0;1;1;0;6;4;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
