Patrón;Repeticiones;Aparición
Patron 1;88;21
Patron 2;3281;79
Patron 3;1785;71
Patron 4;360;22
Patron 5;24;8
Patron 6;22;10
Patron 7;193;32
Patron 8;83;25
Patron 9;32;11
Patron 10;354;52
Patron 11;5;2
Patron 12;505;8
Patron 13;76;19
Patron 14;66;22
Patron 15;14;2
Patron 16;3;2
Patron 17;10;3
Patron 18;4;2
Patron 19;4;2
Patron 20;269;38
Patron 21;2;2
Patron 22;239;30
Patron 23;7;2
Patron 24;260;21
Patron 25;89;15
Patron 26;4;2
Patron 27;4;2
Patron 28;5;1
Patron 29;2;1
Patron 30;26;7
Patron 31;1209;11
Patron 32;105;34
Patron 33;64;16
Patron 34;75;14
Patron 35;5;4
Patron 36;37;9
Patron 37;589;5
Patron 38;10;1
Patron 39;3;1
Patron 40;31;5
Patron 41;4;1
Patron 42;5;1
Patron 43;21;1
Patron 44;11;1
Patron 45;2;1
Patron 46;2;1
Patron 47;2;1
Patron 48;9;2
Patron 49;2;1
Patron 50;6;3
Patron 51;2;1
Patron 52;5;3
Patron 53;2;1
Patron 54;6;4
Patron 55;3;1
Patron 56;25;4
Patron 57;4;1
Patron 58;5;3
Patron 59;2;1
Patron 60;280;9
Patron 61;2;2
Patron 62;28;12
Patron 63;3;1
Patron 64;2;2
Patron 65;204;25
Patron 66;11;5
Patron 67;4;2
Patron 68;2;1
Patron 69;52;10
Patron 70;222;8
Patron 71;14;6
Patron 72;30;12
Patron 73;6;2
Patron 74;709;4
Patron 75;243;25
Patron 76;11;5
Patron 77;44;5
Patron 78;73;3
Patron 79;5;2
Patron 80;7;3
Patron 81;12;4
Patron 82;4;2
Patron 83;47;9
Patron 84;2;1
Patron 85;6;2
Patron 86;14;6
Patron 87;204;8
Patron 88;44;6
Patron 89;40;11
Patron 90;2;2
Patron 91;3;3
Patron 92;8;5
Patron 93;9;3
Patron 94;42;4
Patron 95;5;1
Patron 96;3;1
Patron 97;3;2
Patron 98;3;1
Patron 99;4;1
Patron 100;2;1
Patron 101;2;2
Patron 102;2;1
Patron 103;2;1
Patron 104;2;1
Patron 105;2;1
Patron 106;2;1
Patron 107;5;1
Patron 108;13;2
Patron 109;3;1
Patron 110;10;4
Patron 111;3;2
Patron 112;2;2
Patron 113;26;4
Patron 114;111;15
Patron 115;3;2
Patron 116;6;4
Patron 117;12;4
Patron 118;5;4
Patron 119;75;12
Patron 120;22;5
Patron 121;6;2
Patron 122;4;2
Patron 123;32;11
Patron 124;9;2
Patron 125;3;1
Patron 126;2;1
Patron 127;9;3
Patron 128;2;2
Patron 129;6;3
Patron 130;2;2
Patron 131;59;1
Patron 132;2;1
Patron 133;2;1
Patron 134;4;1
Patron 135;10;1
Patron 136;13;1
Patron 137;2;1
Patron 138;5;4
Patron 139;12;6
Patron 140;4;2
Patron 141;2;1
Patron 142;9;3
Patron 143;2;2
Patron 144;3;2
Patron 145;5;3
Patron 146;11;6
Patron 147;22;2
Patron 148;6;5
Patron 149;12;7
Patron 150;3;2
Patron 151;2;2
Patron 152;5;3
Patron 153;8;1
Patron 154;36;5
Patron 155;2;1
Patron 156;2;1
Patron 157;2;2
Patron 158;59;1
Patron 159;20;1
Patron 160;20;1
Patron 161;2;1
Patron 162;6;2
Patron 163;15;2
Patron 164;2;1
Patron 165;14;1
Patron 166;13;1
Patron 167;4;1
Patron 168;8;2
Patron 169;5;1
Patron 170;3;1
Patron 171;2;1
Patron 172;5;1
Patron 173;7;2
Patron 174;2;1
Patron 175;2;1
Patron 176;295;3
Patron 177;20;2
Patron 178;24;7
Patron 179;9;5
Patron 180;4;1
Patron 181;3;2
Patron 182;3;2
Patron 183;3;2
Patron 184;4;4
Patron 185;3;1
Patron 186;3;1
Patron 187;16;1
Patron 188;6;1
Patron 189;2;1
Patron 190;35;4
Patron 191;6;1
Patron 192;7;1
Patron 193;3;1
Patron 194;7;2
Patron 195;2;2
Patron 196;10;3
Patron 197;14;3
Patron 198;2;1
Patron 199;2;2
Patron 200;2;2
Patron 201;2;1
Patron 202;6;3
Patron 203;2;1
Patron 204;2;1
Patron 205;176;1
Patron 206;60;1
Patron 207;22;1
Patron 208;3;1
Patron 209;2;1
Patron 210;7;4
Patron 211;2;2
Patron 212;3;3
Patron 213;28;1
Patron 214;2;1
Patron 215;65;3
Patron 216;3;1
Patron 217;4;1
Patron 218;2;2
Patron 219;41;1
Patron 220;5;3
Patron 221;25;1
Patron 222;2;1
Patron 223;2;1
Patron 224;3;2
Patron 225;5;1
Patron 226;2;1
Patron 227;8;2
Patron 228;6;1
Patron 229;417;1
Patron 230;444;1
Patron 231;4;1
Patron 232;44;1
Patron 233;3;1
Patron 234;78;1
Patron 235;7;1
Patron 236;2;1
Patron 237;4;2
Patron 238;4;3
Patron 239;4;1
Patron 240;31;2
Patron 241;14;1
Patron 242;2;1
Patron 243;5;3
Patron 244;6;2
Patron 245;3;1
Patron 246;46;1
Patron 247;14;1
Patron 248;3;1
Patron 249;2;1
Patron 250;3;1
Patron 251;24;2
Patron 252;2;1
Patron 253;2;2
Patron 254;3;3
Patron 255;310;1
Patron 256;3;1
Patron 257;9;1
Patron 258;13;1
Patron 259;21;1
Patron 260;2;1
Patron 261;6;1
Patron 262;16;1
Patron 263;4;1
Patron 264;6;1
Patron 265;8;1
Patron 266;7;1
Patron 267;11;1
Patron 268;6;1
Patron 269;10;1
Patron 270;5;1
Patron 271;2;1
Patron 272;2;1
Patron 273;11;1
Patron 274;2;1
Patron 275;2;1
Patron 276;11;1
Patron 277;14;1
Patron 278;2;1
Patron 279;2;1
Patron 280;10;2
Patron 281;4;3
Patron 282;2;1
Patron 283;7;1
Patron 284;2;1
Patron 285;2;1
