Vocabulario;Encontrados;
a-loc;42;
ac;0;
acco;0;
acl;0;
acrt;0;
adms;0;
af;2;
agrelon;0;
am;0;
amlo-core;71;
ao;0;
aos;0;
arco;4;
arp;3;
atd;34;
atm;50;
atts;5;
awol;4;
aws;138;
bag;0;
bcom;0;
bevon;0;
bibo;23;
bibtex;41;
biopax;54;
biotop;176;
biro;8;
blt;0;
bot;0;
brk;0;
brt;0;
bto;0;
c4o;8;
cart;0;
caso;28;
cbcm;76;
cbo;0;
cco;0;
cdc;0;
cdesc;261;
cdm;0;
cdtype;0;
cem;9;
cert;0;
cevent;10;
cff;0;
cfp;0;
cfrl;0;
chord;0;
ci;0;
cis;140;
citedcat;0;
cito;2;
cl;4;
cld;0;
cnt;0;
co;1;
cochrane;0;
cocoon;35;
cold;4;
comm;0;
common;146;
contax;0;
cpa;0;
cpmeta;57;
crm;0;
ct;2;
ctlog;33;
cto;0;
ctrl;11;
daq;0;
dataid;28;
datex;0;
dave;0;
dba;0;
dbm;0;
dbpedia-owl;0;
dcam;0;
dcat;2;
dce;0;
dcite;13;
dcndl;0;
dcterms;0;
dctype;0;
ddesc;85;
deo;1;
dicom;0;
dio;2;
dita;0;
dk;0;
dnbt;2;
doap;0;
doc;0;
doco;53;
dogont;1796;
dot;0;
dpn;17;
dqc;0;
dqm;0;
dqv;1;
drama;36;
dsn;0;
dtype;19;
dul;75;
eac-cpf;23;
earl;0;
ecfo;0;
ecpo;6;
ecrm;74;
edac;11;
edu;0;
edupro;0;
eeo;28;
ei2a;41;
ep;0;
eqp;2;
era;0;
esco;28;
eupont;7;
event;2;
ex;0;
exif;0;
fabio;90;
faldo;6;
fel;0;
fiesta-iot;125;
fog;0;
foio;1;
fowl;67;
frad;0;
frbrer;0;
fresnel;48;
g50k;0;
game;0;
geo;0;
geofla;4;
geom;13;
gleif-L1;36;
gleif-L2;16;
gleif-base;27;
gleif-elf;6;
gleif-geo;18;
gleif-ra;6;
gleif-repex;4;
