CLASE;TIPO;REFERENCIAS;DATASETS;DOCUMENTACION
rdf;Property;3412;53;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
rdf;rest;77471;47;http://www.w3.org/1999/02/22-rdf-syntax-ns#rest
rdf;first;77467;47;http://www.w3.org/1999/02/22-rdf-syntax-ns#first
rdf;value;4642848;44;http://www.w3.org/1999/02/22-rdf-syntax-ns#value
rdf;Seq;1627613;28;http://www.w3.org/1999/02/22-rdf-syntax-ns#Seq
rdf;List;64;8;http://www.w3.org/1999/02/22-rdf-syntax-ns#List
rdf;subject;2864;3;http://www.w3.org/1999/02/22-rdf-syntax-ns#subject
rdf;object;2864;3;http://www.w3.org/1999/02/22-rdf-syntax-ns#object
rdf;predicate;2705;3;http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate
rdf;Statement;2663;2;http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement
rdf;Bag;5;1;http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag
rdfs;type;60189781;500;http://www.w3.org/1999/02/22-rdf-syntax-ns#type
rdfs;label;44393909;410;http://www.w3.org/2000/01/rdf-schema#label
rdfs;comment;245759;143;http://www.w3.org/2000/01/rdf-schema#comment
rdfs;subClassOf;87142;93;http://www.w3.org/2000/01/rdf-schema#subClassOf
rdfs;seeAlso;1672992;90;http://www.w3.org/2000/01/rdf-schema#seeAlso
rdfs;range;15889;78;http://www.w3.org/2000/01/rdf-schema#range
rdfs;subPropertyOf;12204;65;http://www.w3.org/2000/01/rdf-schema#subPropertyOf
rdfs;isDefinedBy;57609;62;http://www.w3.org/2000/01/rdf-schema#isDefinedBy
rdfs;domain;16110;57;http://www.w3.org/2000/01/rdf-schema#domain
rdfs;Class;1111;45;http://www.w3.org/2000/01/rdf-schema#Class
rdfs;Datatype;45;12;http://www.w3.org/2000/01/rdf-schema#Datatype
rdfs;Resource;1633;5;http://www.w3.org/2000/01/rdf-schema#Resource
rdfs;ContainerMembershipProperty;119;3;http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty
owl;sameAs;17236787;147;http://www.w3.org/2002/07/owl#sameAs
owl;Ontology;1831;110;http://www.w3.org/2002/07/owl#Ontology
owl;Class;67918;82;http://www.w3.org/2002/07/owl#Class
owl;DatatypeProperty;2877;66;http://www.w3.org/2002/07/owl#DatatypeProperty
owl;ObjectProperty;15581;59;http://www.w3.org/2002/07/owl#ObjectProperty
owl;Thing;17894;47;http://www.w3.org/2002/07/owl#Thing
owl;versionInfo;419;36;http://www.w3.org/2002/07/owl#versionInfo
owl;AnnotationProperty;330;33;http://www.w3.org/2002/07/owl#AnnotationProperty
owl;inverseOf;619;31;http://www.w3.org/2002/07/owl#inverseOf
owl;equivalentClass;658658;27;http://www.w3.org/2002/07/owl#equivalentClass
owl;onProperty;3539;24;http://www.w3.org/2002/07/owl#onProperty
owl;Restriction;3465;24;http://www.w3.org/2002/07/owl#Restriction
owl;FunctionalProperty;3013;22;http://www.w3.org/2002/07/owl#FunctionalProperty
